order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
155,78346564.01,34.48975604,1.316087405,8.17E-08,10.48542714,-1636.172425,,0.001435141,-0.000460125,0.006304266,7.37447372
156,78326265.51,34.49951571,1.322472736,8.18E-08,10.51984925,-1627.221091,,0.001414665,-0.000518239,0.005790948,7.380264668
157,78303744.25,34.50913968,1.328909776,8.19E-08,10.55427136,-1618.368679,,0.001394604,-0.000575146,0.005288758,7.385553426
158,78279042.13,34.51862833,1.335397733,8.19E-08,10.58869347,-1609.617117,,0.001374613,-0.00063103,0.004794318,7.390347744
159,78252204.05,34.52798086,1.341935923,8.20E-08,10.62311558,-1600.957588,,0.001354525,-0.00068582,0.004307067,7.394654811
160,78223277.67,34.53720557,1.348525118,8.21E-08,10.65753769,-1592.396662,,0.001335652,-0.000739448,0.003835946,7.398490757
161,78192303.81,34.54629611,1.355162921,8.22E-08,10.6919598,-1583.92688,,0.001315878,-0.000792092,0.003366223,7.40185698
162,78159321.35,34.55525779,1.361850119,8.23E-08,10.72638191,-1575.548803,,0.001296885,-0.000843802,0.002908428,7.404765408
163,78124378.06,34.56409243,1.368586004,8.24E-08,10.76080402,-1567.262731,,0.001278172,-0.000894355,0.00246081,7.407226218
164,78087516.68,34.57280293,1.3753708,8.25E-08,10.79522613,-1559.059713,,0.001259892,-0.000943882,0.002023534,7.409249752
165,78048757.98,34.58137879,1.382201084,8.26E-08,10.82964824,-1550.946139,,0.001240108,-0.000992945,0.00158063,7.410830382
166,78008161.89,34.58983557,1.389079815,8.27E-08,10.86407035,-1542.917254,,0.001222586,-0.001040546,0.001162612,7.411992994
167,77965760.17,34.59816807,1.396004954,8.29E-08,10.89849246,-1534.972195,,0.001204328,-0.001087405,0.000745714,7.412738708
168,77921589.5,34.6063785,1.402976488,8.30E-08,10.93291457,-1527.110746,,0.001186401,-0.0011334,0.000337553,7.413076261
169,77875696.65,34.61447027,1.409993979,8.31E-08,10.96733668,-1519.328419,,0.001168978,-0.001178271,-5.90981E-05,7.413017163
170,77828118.19,34.62244578,1.417057621,8.32E-08,11.00175879,-1511.625854,,0.001151915,-0.001222281,-0.000446836,7.412570327
171,77778855.26,34.63028971,1.424163398,8.34E-08,11.0361809,-1504.003719,,0.001132654,-0.001266343,-0.000847664,7.411722663
172,77727995.55,34.63802685,1.431316012,8.35E-08,11.07060302,-1496.456255,,0.001116981,-0.001308231,-0.001210756,7.410511907
173,77675544.32,34.64564594,1.438512088,8.36E-08,11.10502513,-1488.985608,,0.001099695,-0.001350066,-0.001582523,7.408929384
174,77621546.05,34.6531507,1.44575199,8.38E-08,11.13944724,-1481.589779,,0.001082956,-0.001390838,-0.001942887,7.406986497
175,77566023.07,34.66053914,1.453034564,8.39E-08,11.17386935,-1474.265842,,0.001065943,-0.001431119,-0.002300642,7.404685855
176,77509023.56,34.66781821,1.460360738,8.40E-08,11.20829146,-1467.014054,,0.001049942,-0.001470244,-0.002643494,7.402042361
177,77450575.37,34.67498606,1.467729446,8.42E-08,11.24271357,-1459.83413,,0.001033683,-0.001508734,-0.00298273,7.399059631
178,77390695.26,34.68203713,1.475138611,8.43E-08,11.27713568,-1452.722872,,0.001016634,-0.001546877,-0.003323483,7.395736147
179,77329441.5,34.68898549,1.48259084,8.45E-08,11.31155779,-1445.681791,,0.001001622,-0.001583602,-0.003641308,7.392094839
180,77266828.46,34.69582412,1.490084106,8.46E-08,11.3459799,-1438.706428,,0.00098561,-0.00162004,-0.003962354,7.388132485
181,77202895.1,34.70255711,1.497618452,8.48E-08,11.38040201,-1431.798514,,0.000970194,-0.001655557,-0.004272647,7.383859838
182,77137692.54,34.7091976,1.505196266,8.49E-08,11.41482412,-1424.955626,,0.00095668,-0.001689836,-0.004562131,7.379297707
183,77071176.1,34.7157093,1.512808978,8.51E-08,11.44924623,-1418.178631,,0.00093795,-0.00172536,-0.004890541,7.374407166
184,77003436.23,34.72212211,1.520462282,8.53E-08,11.48366834,-1411.464443,,0.000923532,-0.001758625,-0.005176842,7.369230324
185,76934507.31,34.72844108,1.528157109,8.54E-08,11.51809045,-1404.811535,,0.000909851,-0.001791084,-0.005452342,7.363777982
186,76864420.11,34.7346678,1.535893106,8.56E-08,11.55251256,-1398.220331,,0.000896408,-0.001822827,-0.00572073,7.358057253
187,76793107.79,34.74075963,1.543659905,8.58E-08,11.58693467,-1391.690695,,0.000876832,-0.001856397,-0.006036966,7.352020286
188,76720732.55,34.74678082,1.551471451,8.59E-08,11.62135678,-1385.220634,,0.000866514,-0.00188583,-0.006269416,7.345750871
189,76647243.21,34.7526944,1.559318938,8.61E-08,11.65577889,-1378.808302,,0.00085088,-0.00191668,-0.006542073,7.339208798
190,76572701.33,34.75851912,1.567206019,8.63E-08,11.69020101,-1372.453973,,0.000837954,-0.00194601,-0.006787556,7.332421242
191,76497069.28,34.76422675,1.575125641,8.65E-08,11.72462312,-1366.157638,,0.000820973,-0.001976408,-0.007063184,7.325358058
192,76420415.75,34.76983759,1.583081723,8.67E-08,11.75904523,-1359.917172,,0.00080692,-0.002005096,-0.007309222,7.318048836
193,76342835.57,34.77538382,1.591081173,8.68E-08,11.79346734,-1353.731258,,0.000797499,-0.002031384,-0.007511212,7.310537625
194,76264243.41,34.78081738,1.599112398,8.70E-08,11.82788945,-1347.601665,,0.000781177,-0.002059988,-0.007768156,7.302769469
195,76184716.02,34.78616324,1.607180593,8.72E-08,11.86231156,-1341.522923,,0.000768447,-0.002086663,-0.007990361,7.294779108
196,76104288.7,34.79142676,1.615286491,8.74E-08,11.89673367,-1335.498964,,0.000756496,-0.002112492,-0.008201582,7.286577525
197,76022913.41,34.79657793,1.623422334,8.76E-08,11.93115578,-1329.527524,,0.000740238,-0.002139665,-0.008445807,7.278131718
198,75940819.6,34.80170561,1.63160832,8.78E-08,11.96557789,-1323.605118,,0.000736754,-0.00216088,-0.008575944,7.269555775
199,75857614.02,34.80663358,1.639803254,8.80E-08,12,-1317.735791,,0.000707958,-0.002192529,-0.008920128,7.260635646
