order,P,T,L,ST,m,dgr,M_v=8e+6;g_in=44.388807120323044,,,,t
114,68700507.5,37.91211922,3.523708181,2.90E-07,11.24120603,-1370.987376,,0.001857939,0.00251484,0.007937439,1.651023761
115,68782450.01,37.92599228,3.533798891,2.89E-07,11.28542714,-1360.806951,,0.001829299,0.002384079,0.007678664,1.658702425
116,68860088.09,37.93965522,3.544162037,2.88E-07,11.32964824,-1350.781845,,0.001800939,0.002256224,0.00742239,1.666124815
117,68933512.09,37.95311045,3.554791321,2.87E-07,11.37386935,-1340.908016,,0.001772928,0.00213142,0.007169209,1.673294024
118,69002808.51,37.9663584,3.56567996,2.86E-07,11.41809045,-1331.180131,,0.001745,0.00200952,0.006918559,1.680212584
119,69068065.72,37.97940562,3.576823541,2.85E-07,11.46231156,-1321.596703,,0.001717965,0.001890543,0.006672156,1.686884739
120,69129358.44,37.99225106,3.58821571,2.84E-07,11.50653266,-1312.151255,,0.001690821,0.001774063,0.006427534,1.693312273
121,69186777.97,38.00489859,3.599850953,2.83E-07,11.55075377,-1302.847269,,0.001664212,0.00166053,0.006186892,1.699499165
122,69240397.59,38.01734913,3.611723941,2.83E-07,11.59497487,-1293.675209,,0.001637749,0.001549396,0.00594865,1.705447815
123,69290298.56,38.02960577,3.62382957,2.82E-07,11.63919598,-1284.633748,,0.001611721,0.001440864,0.005713873,1.711161688
124,69336556.64,38.04166906,3.636162771,2.81E-07,11.68341709,-1275.721537,,0.001585788,0.001334751,0.005481732,1.71664342
125,69379254.82,38.05354361,3.648718865,2.80E-07,11.72763819,-1266.934327,,0.001560486,0.001231242,0.00525372,1.72189714
126,69418459.99,38.06523001,3.661493135,2.80E-07,11.7718593,-1258.269417,,0.001535285,0.001129851,0.005028063,1.726925203
127,69454248.75,38.07672995,3.674481075,2.79E-07,11.8160804,-1249.724023,,0.001510329,0.001030836,0.004805643,1.731730846
128,69486691.33,38.08804828,3.687679047,2.78E-07,11.86030151,-1241.29582,,0.001486032,0.000933996,0.004586978,1.736317824
129,69515859.71,38.09918274,3.701081259,2.78E-07,11.90452261,-1232.981423,,0.001461461,0.000839362,0.004370484,1.740688308
130,69541824.82,38.11013758,3.714684306,2.77E-07,11.94874372,-1224.780185,,0.001437466,0.000746888,0.004157788,1.744846096
131,69564653.56,38.12091491,3.728484157,2.77E-07,11.99296482,-1216.68915,,0.001413772,0.000656439,0.003948219,1.748794315
132,69584409.67,38.13151575,3.742476901,2.76E-07,12.03718593,-1208.705026,,0.001390231,0.000567912,0.003741394,1.752535708
133,69601160.51,38.14194237,3.756658684,2.76E-07,12.08140704,-1200.826203,,0.001367005,0.000481396,0.003537891,1.756073599
134,69614977.99,38.15219844,3.771026103,2.75E-07,12.12562814,-1193.050508,,0.00134428,0.000397008,0.003338376,1.759411975
135,69625917.39,38.16228591,3.785576649,2.75E-07,12.16984925,-1185.375172,,0.001321829,0.000314258,0.003141563,1.762553538
136,69634038.58,38.17220459,3.800305418,2.74E-07,12.21407035,-1177.799026,,0.00129937,0.000233267,0.00294722,1.765500758
137,69639412.21,38.18195711,3.815208815,2.74E-07,12.25829146,-1170.319608,,0.001277274,0.000154333,0.002756712,1.76825747
138,69642090.21,38.19154142,3.830281252,2.74E-07,12.30251256,-1162.935361,,0.001254927,7.69089E-05,0.002567875,1.770825346
139,69642138.06,38.2009671,3.845524375,2.73E-07,12.34673367,-1155.643362,,0.001233848,1.37437E-06,0.002384439,1.773209785
140,69639608.21,38.21023177,3.860932736,2.73E-07,12.39095477,-1148.443566,,0.001212476,-7.26541E-05,0.002202717,1.775412501
141,69634559.06,38.21933763,3.876503303,2.73E-07,12.43517588,-1141.332518,,0.001191405,-0.000145013,0.002024235,1.777436737
142,69627046.39,38.22828753,3.8922339,2.73E-07,12.47939698,-1134.30857,,0.001170724,-0.000215786,0.00184906,1.779285796
143,69617124.48,38.23708186,3.908120095,2.72E-07,12.52361809,-1127.371404,,0.001150106,-0.000285022,0.00167652,1.780962317
144,69604847.51,38.24572005,3.92415802,2.72E-07,12.5678392,-1120.517065,,0.001129429,-0.000352731,0.001506412,1.782468729
145,69590268.61,38.25420928,3.94034785,2.72E-07,12.6120603,-1113.72813,,0.001109705,-0.000418948,0.001340677,1.783809406
146,69573438.95,38.2625485,3.956685602,2.72E-07,12.65628141,-1107.055336,,0.001089855,-0.000483737,0.00117715,1.784986556
147,69554410.57,38.27073974,3.973168313,2.72E-07,12.70050251,-1100.444776,,0.001070284,-0.000547076,0.001016703,1.786003259
148,69533228.45,38.27878196,3.98979224,2.72E-07,12.74472362,-1093.912267,,0.001050591,-0.000609173,0.000858189,1.786861448
149,69509948.28,38.28668143,4.006556604,2.71E-07,12.78894472,-1087.455999,,0.001031727,-0.000669725,0.00070409,1.787565537
150,69484615.91,38.29443717,4.023458298,2.71E-07,12.83316583,-1081.074127,,0.001012749,-0.000729018,0.000552049,1.788117586
151,69457279.99,38.30205264,4.040495164,2.71E-07,12.87738693,-1074.766698,,0.000994232,-0.000786974,0.000403373,1.788520959
152,69427980.63,38.30952553,4.057663152,2.71E-07,12.92160804,-1068.53211,,0.000975426,-0.000843844,0.000256149,1.788777108
153,69396769.41,38.31686227,4.074961493,2.71E-07,12.96582915,-1062.36718,,0.000957469,-0.000899298,0.000113257,1.788890365
154,69363687.7,38.32406112,4.092387342,2.71E-07,13.01005025,-1056.272782,,0.000939295,-0.000953635,-2.7923E-05,1.788862442
155,69328783.2,38.33112522,4.109937708,2.71E-07,13.05427136,-1050.245744,,0.000921543,-0.001006673,-0.00016577,1.788696672
156,69292091.82,38.33805359,4.127609761,2.71E-07,13.09849246,-1044.28673,,0.00090367,-0.001058755,-0.000301983,1.788394689
157,69253662.95,38.34485204,4.145403599,2.71E-07,13.14271357,-1038.393358,,0.000886567,-0.001109493,-0.00043405,1.78796064
158,69213550.7,38.35153183,4.163323526,2.71E-07,13.18693467,-1032.56506,,0.00087094,-0.001158751,-0.000560308,1.787400331
159,69171754.9,38.35806027,4.181345191,2.71E-07,13.23115578,-1026.799478,,0.000851059,-0.001208099,-0.000694951,1.78670538
160,69128349.04,38.36446895,4.199485685,2.71E-07,13.27537688,-1021.097856,,0.000835305,-0.001255411,-0.000817503,1.785887877
161,69083366.09,38.37075335,4.21773904,2.72E-07,13.31959799,-1015.457051,,0.000818972,-0.001301856,-0.000939389,1.784948488
162,69036844.19,38.37691366,4.2361027,2.72E-07,13.3638191,-1009.875989,,0.000802671,-0.001347287,-0.001059109,1.783889379
163,68988818.35,38.38294991,4.254573038,2.72E-07,13.4080402,-1004.355635,,0.000786381,-0.001391795,-0.001176871,1.782712508
164,68939326.61,38.38886458,4.273148898,2.72E-07,13.45226131,-998.8930802,,0.000770422,-0.001435291,-0.001291866,1.781420642
165,68888413.21,38.3946639,4.291831515,2.72E-07,13.49648241,-993.4874595,,0.000755282,-0.001477596,-0.001402785,1.780017857
166,68836092.98,38.40033453,4.310609563,2.72E-07,13.54070352,-988.137249,,0.000738411,-0.001519562,-0.001516224,1.778501633
167,68782418.64,38.40589191,4.32948961,2.72E-07,13.58492462,-982.8448634,,0.000723559,-0.001560091,-0.00162276,1.776878873
168,68727422.37,38.41133261,4.348467181,2.72E-07,13.62914573,-977.6056855,,0.000708265,-0.001599777,-0.001728315,1.775150558
169,68671134.04,38.41665904,4.367540988,2.73E-07,13.67336683,-972.4201278,,0.000693293,-0.001638688,-0.001831527,1.773319031
170,68613589.83,38.42187219,4.386707947,2.73E-07,13.71758794,-967.2879085,,0.000678454,-0.001676639,-0.001932396,1.771386635
171,68554827.8,38.42697838,4.405970145,2.73E-07,13.76180905,-962.2072091,,0.000664446,-0.001713574,-0.002029461,1.769357174
172,68494857.88,38.43196185,4.425314766,2.73E-07,13.80603015,-957.1768763,,0.000648391,-0.001750312,-0.002129866,1.767227308
173,68433733.3,38.43684184,4.444751422,2.74E-07,13.85025126,-952.1980888,,0.000634847,-0.00178559,-0.002222349,1.765004959
174,68371479.07,38.44161359,4.464274267,2.74E-07,13.89447236,-947.2677986,,0.000620687,-0.00182023,-0.002314537,1.762690422
175,68308121.9,38.44627795,4.483881415,2.74E-07,13.93869347,-942.3861352,,0.000606644,-0.001854181,-0.002404914,1.760285509
176,68243694.76,38.45083569,4.503570244,2.74E-07,13.98291457,-937.5519652,,0.000592706,-0.001887259,-0.002493143,1.757792366
177,68178223.53,38.45528915,4.523340079,2.75E-07,14.02713568,-932.7664071,,0.000579078,-0.001919669,-0.002579224,1.755213142
178,68111739.68,38.45963841,4.543188546,2.75E-07,14.07135678,-928.0253668,,0.000565464,-0.001951248,-0.002663406,1.752549736
179,68044272.12,38.46388699,4.563114827,2.75E-07,14.11557789,-923.3304998,,0.000552312,-0.001982067,-0.002744971,1.749804765
180,67975845.21,38.46803412,4.583116353,2.76E-07,14.15979899,-918.6816019,,0.000539065,-0.002012259,-0.002825237,1.746979528
181,67906487.75,38.47208214,4.603191641,2.76E-07,14.2040201,-914.0758603,,0.000526126,-0.002041692,-0.002903182,1.744076347
182,67836226.52,38.47603269,4.623340367,2.76E-07,14.24824121,-909.5143101,,0.000513404,-0.002070424,-0.002979088,1.741097258
183,67765076.62,38.47987765,4.643553415,2.77E-07,14.29246231,-904.9944917,,0.000499632,-0.002098798,-0.003056037,1.738041222
184,67693077.18,38.4836309,4.663838405,2.77E-07,14.33668342,-900.5177936,,0.000487666,-0.002126102,-0.00312721,1.734914012
185,67620252.02,38.48728936,4.684190074,2.77E-07,14.38090452,-896.0833085,,0.000475304,-0.002152787,-0.003197674,1.731716338
186,67546618.57,38.49085304,4.704606371,2.78E-07,14.42512563,-891.6885195,,0.000462946,-0.002179039,-0.003267025,1.728449313
187,67472209.19,38.49432468,4.725086147,2.78E-07,14.46934673,-887.3345778,,0.00045095,-0.002204416,-0.00333374,1.725115572
188,67397038.75,38.49770211,4.745627217,2.78E-07,14.51356784,-883.0204059,,0.000438672,-0.002229432,-0.003400025,1.721715547
189,67321139.17,38.50099115,4.766228873,2.79E-07,14.55778894,-878.7455039,,0.000427155,-0.002253582,-0.003462939,1.718252609
190,67244527.75,38.5041899,4.78688936,2.79E-07,14.60201005,-874.5089576,,0.000415394,-0.002277295,-0.00352521,1.714727398
191,67167226.94,38.50729822,4.807604958,2.80E-07,14.64623116,-870.3110498,,0.000403618,-0.002300419,-0.003586117,1.711141281
192,67089257.6,38.51031933,4.828376436,2.80E-07,14.69045226,-866.1503538,,0.000392262,-0.002322997,-0.003644921,1.70749636
193,67010642.91,38.51325403,4.849201006,2.80E-07,14.73467337,-862.0247269,,0.000381014,-0.00234496,-0.003702084,1.703794277
194,66931406.57,38.51610374,4.87007768,2.81E-07,14.77889447,-857.9387803,,0.000369951,-0.002366288,-0.003757431,1.700036846
195,66851562.43,38.51886644,4.891003403,2.81E-07,14.82311558,-853.8871596,,0.000358629,-0.002387275,-0.003812354,1.696224492
196,66771136.12,38.52154664,4.911978716,2.82E-07,14.86733668,-849.8709785,,0.000347895,-0.002407565,-0.003864596,1.692359896
197,66690148.55,38.52414425,4.932999977,2.82E-07,14.91155779,-845.8901906,,0.000337153,-0.002427299,-0.003915543,1.688444353
198,66608611.6,38.5266587,4.954066688,2.83E-07,14.95577889,-841.9427304,,0.000326336,-0.002446744,-0.003965828,1.684478525
199,66526548.17,38.52909058,4.97517539,2.83E-07,15,-838.0291596,,0.0003156,-0.002465568,-0.004014541,1.680463984
