order,P,T,L_s,ST,M,a=0.3,M_c=3,,t
110,98900739.98,25.1177858,0.051909609,7.20E-09,5.532160804,0.004317274,0.003257809,0.554746745,96.58591474
111,99054939.59,25.13924187,0.052244798,7.19E-09,5.554271357,0.004269269,0.003115843,0.541882512,97.12779726
112,99202489.87,25.16048097,0.052585132,7.18E-09,5.57638191,0.004222508,0.002976945,0.529211867,97.65700912
113,99343488.95,25.18150327,0.052930529,7.17E-09,5.598492462,0.004175899,0.002840635,0.516626757,98.17363588
114,99478072.58,25.20231484,0.05328104,7.16E-09,5.620603015,0.004130607,0.002707628,0.50427301,98.67790889
115,99606366.44,25.22290975,0.053636548,7.15E-09,5.642713568,0.004084247,0.002577678,0.491964362,99.16987325
116,99728415.15,25.24329573,0.05399701,7.14E-09,5.664824121,0.004039532,0.002449121,0.479785634,99.64965889
117,99844383.5,25.2634718,0.054362433,7.13E-09,5.686934673,0.003994726,0.002324333,0.467790805,100.1174497
118,99954381.31,25.28343892,0.054732787,7.12E-09,5.709045226,0.003950218,0.002202173,0.455930808,100.5733805
119,100058470.3,25.30320228,0.055108029,7.12E-09,5.731155779,0.003906833,0.002081646,0.444199355,101.0175799
120,100156746.3,25.32276052,0.055488086,7.11E-09,5.753266332,0.003863284,0.001963408,0.432555025,101.4501349
121,100249367.8,25.34211981,0.055873055,7.11E-09,5.775376884,0.003821048,0.001848678,0.42120315,101.871338
122,100336418.6,25.36127515,0.056262814,7.10E-09,5.797487437,0.003777921,0.001735932,0.4098727,102.2812107
123,100417988.1,25.38024587,0.056657527,7.10E-09,5.81959799,0.003738698,0.00162526,0.398931148,102.6801419
124,100494107,25.39899273,0.057056652,7.10E-09,5.841708543,0.003691835,0.001515467,0.387437226,103.0675791
125,100564941.4,25.41755989,0.057460697,7.09E-09,5.863819095,0.003653763,0.001409224,0.376816071,103.4443952
126,100630586.4,25.43593097,0.057869462,7.09E-09,5.885929648,0.003612551,0.001305101,0.366076215,103.8104714
127,100691133.4,25.45410756,0.058282916,7.09E-09,5.908040201,0.00357174,0.001202989,0.355478386,104.1659498
128,100746637.9,25.47209913,0.058701086,7.09E-09,5.930150754,0.00353287,0.001102168,0.345087221,104.511037
129,100797221,25.48989563,0.059123892,7.09E-09,5.952261307,0.003492113,0.001003913,0.33471629,104.8457533
130,100842950.9,25.50750738,0.059551372,7.10E-09,5.974371859,0.003453461,0.000907158,0.324587024,105.1703403
131,100883906.4,25.524936,0.059983492,7.10E-09,5.996482412,0.003415204,0.000812097,0.314589253,105.4849296
