order,P,T,L,ST
183,77071177.4897491,34.71570964901119,1.512808978005305,2.459384313453128e-08
184,77003437.07675256,34.722122150323074,1.520462281951552,2.422759298465236e-08
185,76934506.56999047,34.728441137537686,1.528157108517862,2.3861447142801382e-08
186,76864419.41896391,34.73466801863065,1.535893105618882,2.349534280990993e-08
187,76793107.72082263,34.74075986494165,1.543659905347333,2.311640383119533e-08
188,76720732.64038324,34.7467806358642,1.551471451047966,2.275010948736237e-08
189,76647242.21063201,34.75269420396788,1.559318938047584,2.2383622079021235e-08
190,76572701.5607633,34.75851894321068,1.567206019229105,2.2004301170524147e-08
191,76497068.67669284,34.76422665101213,1.575125641405876,2.1637262127231407e-08
192,76420415.97667761,34.76983782325613,1.583081722724188,2.1269982585236066e-08
193,76342835.74562845,34.77538403046223,1.591081173171101,2.0889705822796386e-08
194,76264242.97964834,34.7808174011056,1.599112398042854,2.052168537817202e-08
195,76184715.94566531,34.78616322448234,1.607180593021657,2.0140492022872144e-08
196,76104290.48321915,34.7914273011991,1.615286490588507,1.97715970613108e-08
197,76022914.63127463,34.79657797904629,1.623422333892579,1.9402096894458118e-08
198,75940818.90768453,34.801705713359965,1.631608320471449,1.9019451770140284e-08
199,75857614.79379523,34.806633791370054,1.639803254053451,1.864863389128154e-08
