order,P,T,L,ST,m,dgr,M_v=8e+6
148,78422416.41,34.41750156,1.27288222,1.02E-07,10.24447236,-4.598136732,
149,78419012.68,34.42825422,1.278890328,1.02E-07,10.27889447,-4.571813399,
150,78413056.16,34.43886253,1.284954207,1.02E-07,10.31331658,-4.545800367,
151,78404582.71,34.44932533,1.29107327,1.02E-07,10.34773869,-4.520090565,
152,78393651,34.45964481,1.297246609,1.02E-07,10.3821608,-4.494676315,
153,78380303.48,34.469822,1.303473879,1.02E-07,10.41658291,-4.469557347,
154,78364591.33,34.47985761,1.309754103,1.02E-07,10.45100503,-4.444724478,
155,78346561.4,34.48975569,1.316087405,1.02E-07,10.48542714,-4.420171689,
156,78326264.63,34.49951569,1.322472736,1.02E-07,10.51984925,-4.395896304,
157,78303742.49,34.50913942,1.328909776,1.02E-07,10.55427136,-4.371889745,
158,78279042.01,34.5186277,1.335397733,1.02E-07,10.58869347,-4.348152366,
159,78252202.57,34.52798104,1.341935923,1.02E-07,10.62311558,-4.324679036,
160,78223279.62,34.53720622,1.348525118,1.02E-07,10.65753769,-4.301459553,
161,78192301.32,34.54629607,1.355162921,1.02E-07,10.6919598,-4.278492519,
162,78159320.76,34.55525792,1.361850119,1.02E-07,10.72638191,-4.255773599,
163,78124376.27,34.56409213,1.368586004,1.02E-07,10.76080402,-4.233302682,
164,78087516.23,34.57280338,1.3753708,1.02E-07,10.79522613,-4.211068115,
165,78048755.63,34.58137839,1.382201084,1.02E-07,10.82964824,-4.189069553,
166,78008157.75,34.58983502,1.389079815,1.02E-07,10.86407035,-4.167302307,
167,77965758.38,34.59816817,1.396004954,1.02E-07,10.89849246,-4.145764403,
168,77921587.88,34.6063787,1.402976488,1.02E-07,10.93291457,-4.124446952,
169,77875696.85,34.61447015,1.409993979,1.02E-07,10.96733668,-4.103352449,
170,77828116.22,34.62244546,1.417057621,1.02E-07,11.00175879,-4.082474655,
171,77778855.01,34.63028944,1.424163398,1.02E-07,11.0361809,-4.061804893,
172,77727996.88,34.63802729,1.431316012,1.02E-07,11.07060302,-4.041346293,
173,77675543.73,34.64564567,1.438512088,1.02E-07,11.10502513,-4.02109702,
174,77621544.73,34.65315049,1.44575199,1.02E-07,11.13944724,-4.001042522,
175,77566021.57,34.66053879,1.453034564,1.02E-07,11.17386935,-3.981193661,
176,77509021.32,34.66781826,1.460360738,1.02E-07,11.20829146,-3.961539678,
177,77450574.17,34.67498637,1.467729446,1.03E-07,11.24271357,-3.942077304,
