order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
80,68840495.03,33.25157485,1.059940716,1.46E-07,7.903768844,-7.549358428,,0.003765474,0.010483092,0.051265965,3.34170988
81,69191362.12,33.27633614,1.058485329,1.44E-07,7.938190955,-7.47281501,,0.00372194,0.010167779,0.050625838,3.392335717
82,69533362.15,33.30082733,1.05726976,1.42E-07,7.972613065,-7.397888501,,0.003678619,0.009861317,0.049974502,3.44231022
83,69866644.18,33.32505042,1.056284989,1.41E-07,8.007035176,-7.324539483,,0.003635688,0.009563383,0.049313487,3.491623707
84,70191345.13,33.34901069,1.055523302,1.39E-07,8.041457286,-7.252714678,,0.003593642,0.009273379,0.048644402,3.54026811
85,70507639.94,33.37269336,1.054972138,1.37E-07,8.075879397,-7.182359728,,0.00354947,0.008992145,0.047961046,3.588229155
86,70815622.07,33.396129,1.054631559,1.36E-07,8.110301508,-7.113436543,,0.003509968,0.008717138,0.047281439,3.635510594
87,71115476.25,33.41928957,1.054486404,1.34E-07,8.144723618,-7.04589381,,0.003466351,0.008450735,0.046582694,3.682093288
88,71407306.18,33.44220066,1.054536104,1.33E-07,8.179145729,-6.979692067,,0.003426651,0.008190442,0.045888092,3.72798138
89,71691260.03,33.46485574,1.054771887,1.32E-07,8.213567839,-6.914792045,,0.003386053,0.007937325,0.045184534,3.773165914
90,71967470.46,33.48725745,1.055187815,1.30E-07,8.24798995,-6.851146843,,0.00334593,0.007690767,0.044476664,3.817642578
91,72236078.27,33.50939836,1.055775798,1.29E-07,8.28241206,-6.788726142,,0.003304778,0.007450822,0.043760201,3.861402779
92,72497201.22,33.53129841,1.056534651,1.28E-07,8.316834171,-6.727498388,,0.003266682,0.00721669,0.043049914,3.904452693
93,72750971.28,33.55294559,1.057455649,1.27E-07,8.351256281,-6.667426462,,0.003226865,0.006988614,0.042328738,3.946781431
94,72997516.88,33.57434413,1.058534615,1.26E-07,8.385678392,-6.60846873,,0.003187755,0.006766349,0.041607038,3.988388469
95,73236961.6,33.59550005,1.059767623,1.25E-07,8.420100503,-6.550605882,,0.003149617,0.006549628,0.040886138,4.029274607
96,73469426.63,33.61641117,1.061149232,1.24E-07,8.454522613,-6.493795491,,0.003111222,0.006338255,0.040161292,4.069435899
97,73695031.48,33.6370839,1.062676229,1.23E-07,8.488944724,-6.438015461,,0.003073852,0.006132062,0.039438482,4.108874381
98,73913898.25,33.65751598,1.064343522,1.22E-07,8.523366834,-6.383232269,,0.003036214,0.005931003,0.038713187,4.147587568
99,74126138.86,33.67771254,1.066147916,1.21E-07,8.557788945,-6.329427803,,0.002999406,0.005734693,0.037989606,4.185577174
100,74331872.92,33.69767484,1.068085564,1.20E-07,8.592211055,-6.2765689,,0.002962847,0.005543236,0.037266783,4.222843957
101,74531220.91,33.71738753,1.070148899,1.19E-07,8.626633166,-6.224634715,,0.002924078,0.005356555,0.036534661,4.259378618
102,74724270.92,33.73690133,1.072346082,1.18E-07,8.661055276,-6.173593729,,0.002892893,0.005173688,0.035833131,4.295211749
103,74911152.88,33.75617037,1.074662595,1.18E-07,8.695477387,-6.123427655,,0.002854966,0.004995669,0.035104312,4.330316061
104,75091972.18,33.77520857,1.077097963,1.17E-07,8.729899497,-6.074111018,,0.002819164,0.004821754,0.034385316,4.364701377
105,75266825.04,33.79405527,1.079658454,1.16E-07,8.764321608,-6.025625556,,0.002789242,0.004651623,0.033692487,4.398393864
106,75435839.55,33.81262188,1.082319621,1.16E-07,8.798743719,-5.977946237,,0.002746269,0.004486045,0.032944716,4.431338581
107,75599098.19,33.83099564,1.085099019,1.15E-07,8.833165829,-5.931056487,,0.002716259,0.004323737,0.032255116,4.463593696
108,75756707.3,33.84915052,1.087987369,1.14E-07,8.86758794,-5.884930788,,0.002682454,0.004165266,0.031550534,4.49514423
109,75908769.72,33.86708226,1.090980856,1.14E-07,8.90201005,-5.839557147,,0.00264807,0.004010473,0.030845806,4.525990036
110,76055381.97,33.88480848,1.094080763,1.13E-07,8.936432161,-5.794913211,,0.002616345,0.003859131,0.030155579,4.556145615
111,76196642.69,33.90231741,1.097281525,1.13E-07,8.970854271,-5.750977746,,0.002582929,0.003711237,0.029460324,4.585605938
112,76332648.9,33.91966433,1.100593283,1.12E-07,9.005276382,-5.707739675,,0.002557713,0.003566694,0.028806531,4.614412469
113,76463492.09,33.93675852,1.103992804,1.11E-07,9.039698492,-5.665178944,,0.002519171,0.003425303,0.028092889,4.642505358
114,76589266.22,33.95364546,1.107488052,1.11E-07,9.074120603,-5.623281085,,0.002487383,0.003287081,0.0274147,4.669920059
115,76710063.54,33.97032679,1.111076952,1.11E-07,9.108542714,-5.582028141,,0.002455883,0.003151935,0.026741582,4.696661641
116,76825968.46,33.98680493,1.114757784,1.10E-07,9.142964824,-5.541407847,,0.002424784,0.003019616,0.026073412,4.722735053
117,76937076.16,34.00308181,1.118528851,1.10E-07,9.177386935,-5.501403103,,0.002394015,0.002890363,0.025411556,4.748146609
118,77043468.01,34.01915923,1.122388481,1.09E-07,9.211809045,-5.461995585,,0.002363554,0.002763775,0.024754563,4.772901172
119,77145232.93,34.03503965,1.126335013,1.09E-07,9.246231156,-5.423185654,,0.002333496,0.002640011,0.024104134,4.797005305
120,77242455.01,34.05072403,1.130366811,1.08E-07,9.280653266,-5.384939556,,0.002303622,0.002518909,0.023458943,4.820464248
121,77335214.85,34.06621431,1.134482262,1.08E-07,9.315075377,-5.347260543,,0.002274073,0.002400344,0.022819548,4.843283797
122,77423594.74,34.08151144,1.138679812,1.08E-07,9.349497487,-5.310128934,,0.002244701,0.002284327,0.022185685,4.865469482
123,77507676.37,34.09661961,1.142958419,1.07E-07,9.383919598,-5.27353421,,0.002215986,0.002170812,0.021559961,4.887029442
124,77587534.95,34.11153867,1.147316548,1.07E-07,9.418341709,-5.237464126,,0.002187284,0.002059602,0.020938662,4.907968104
125,77663250.52,34.12627005,1.151752553,1.07E-07,9.452763819,-5.201903951,,0.002158829,0.001950794,0.020323785,4.928291889
126,77734901.94,34.14081829,1.15626584,1.06E-07,9.48718593,-5.166848866,,0.002131077,0.001844332,0.01971769,4.948009579
127,77802563.04,34.15518349,1.160854702,1.06E-07,9.52160804,-5.132284326,,0.002103375,0.00174006,0.019116767,4.967126346
128,77866305.52,34.16936703,1.165518078,1.06E-07,9.556030151,-5.098200233,,0.002075907,0.001637899,0.018521891,4.985648237
129,77926204.29,34.18337154,1.170254893,1.05E-07,9.590452261,-5.064585332,,0.002048858,0.001537911,0.01793461,5.003582846
130,77982326.61,34.1971951,1.175063367,1.05E-07,9.624874372,-5.031429813,,0.002021563,0.001439878,0.017350819,5.020933666
131,78034748.64,34.21084418,1.179943195,1.05E-07,9.659296482,-4.99872434,,0.001995246,0.001344008,0.016778003,5.037711669
132,78083537.24,34.22431829,1.184893051,1.05E-07,9.693718593,-4.966457654,,0.001968886,0.001250042,0.016210078,5.053921747
133,78128761.16,34.23761925,1.18991194,1.05E-07,9.728140704,-4.934624556,,0.001942825,0.001158012,0.015649162,5.069570909
134,78170484.93,34.25074811,1.194998766,1.04E-07,9.762562814,-4.903212595,,0.001916948,0.001067792,0.015094313,5.084665222
135,78208779.45,34.26371071,1.200153416,1.04E-07,9.796984925,-4.87221523,,0.001891951,0.000979529,0.014550046,5.099215268
136,78243707.19,34.2765041,1.205373977,1.04E-07,9.831407035,-4.84162309,,0.001866553,0.000892993,0.014008984,5.113224252
137,78275335.5,34.28913568,1.21066084,1.04E-07,9.865829146,-4.811426946,,0.001842261,0.000808293,0.01347954,5.126703792
138,78303716.36,34.30159347,1.216010089,1.04E-07,9.900251256,-4.781619655,,0.00181625,0.000725023,0.012945512,5.139649304
139,78328919.16,34.31389244,1.221424016,1.03E-07,9.934673367,-4.752193991,,0.001792448,0.000643615,0.012429323,5.152078627
140,78351003.91,34.32602877,1.226900439,1.03E-07,9.969095477,-4.723141083,,0.001768116,0.000563818,0.011915951,5.163994578
141,78370033.13,34.33800751,1.23243934,1.03E-07,10.00351759,-4.694453194,,0.001744544,0.000485684,0.01141243,5.175407007
142,78386057.59,34.34982441,1.238038674,1.03E-07,10.0379397,-4.666123977,,0.001720378,0.000408902,0.010910408,5.186317416
143,78399140.5,34.36148639,1.243698957,1.03E-07,10.07236181,-4.638144956,,0.001697243,0.000333779,0.010419969,5.196737385
144,78409343.39,34.37299449,1.249419135,1.03E-07,10.10678392,-4.610515499,,0.001674283,0.000260264,0.009936652,5.206674037
145,78416715.61,34.38434663,1.255197916,1.03E-07,10.14120603,-4.583222554,,0.001651044,0.000188036,0.009456631,5.216130668
146,78421313.96,34.39554857,1.261035371,1.03E-07,10.17562814,-4.55625955,,0.001628665,0.000117276,0.008986841,5.225117509
147,78423194,34.40659902,1.266930241,1.02E-07,10.21005025,-4.529623219,,0.00160612,4.79466E-05,0.00852196,5.233639468
148,78422412.76,34.41750111,1.27288222,1.02E-07,10.24447236,-4.503306209,,0.001584051,-1.99239E-05,0.00806558,5.241705048
149,78419012.22,34.42825404,1.278890328,1.02E-07,10.27889447,-4.477297965,,0.001561887,-8.67255E-05,0.007612886,5.249317934
150,78413051.85,34.43886181,1.284954207,1.02E-07,10.31331658,-4.451598673,,0.001540325,-0.000152019,0.007169857,5.256487791
151,78404580.75,34.44932511,1.29107327,1.02E-07,10.34773869,-4.426203354,,0.00151888,-0.000216075,0.006732706,5.263220497
152,78393644.66,34.45964403,1.297246609,1.02E-07,10.3821608,-4.401100718,,0.001497472,-0.000278985,0.006300672,5.269521169
153,78380299.89,34.46982216,1.303473879,1.02E-07,10.41658291,-4.376288302,,0.001476601,-0.000340484,0.005877818,5.275398987
154,78364588.06,34.47985768,1.309754103,1.02E-07,10.45100503,-4.351759741,,0.001455484,-0.000400953,0.00545823,5.280857217
155,78346559.5,34.48975533,1.316087405,1.02E-07,10.48542714,-4.327511748,,0.001435073,-0.000460173,0.00504806,5.285905278
156,78326264.09,34.49951579,1.322472736,1.02E-07,10.51984925,-4.303539545,,0.00141478,-0.00051816,0.004644274,5.290549551
157,78303743.33,34.50913961,1.328909776,1.02E-07,10.55427136,-4.279836584,,0.001394582,-0.000575133,0.004245706,5.294795257
158,78279037.8,34.51862769,1.335397733,1.02E-07,10.58869347,-4.256397204,,0.00137453,-0.000631117,0.003852569,5.298647826
159,78252203.19,34.52798099,1.341935923,1.02E-07,10.62311558,-4.233216082,,0.001354637,-0.000685732,0.003466988,5.302114814
160,78223279.65,34.53720642,1.348525118,1.02E-07,10.65753769,-4.210295636,,0.001335757,-0.000739376,0.003091399,5.305206213
161,78192301.61,34.54629617,1.355162921,1.02E-07,10.6919598,-4.187624124,,0.001315763,-0.000792198,0.002714061,5.307920274
162,78159321.38,34.55525768,1.361850119,1.02E-07,10.72638191,-4.165194241,,0.00129686,-0.000843745,0.002348839,5.310269113
163,78124375.87,34.56409191,1.368586004,1.02E-07,10.76080402,-4.143010255,,0.001278113,-0.000894412,0.001988881,5.312257995
164,78087517.41,34.57280303,1.3753708,1.02E-07,10.79522613,-4.121064975,,0.001259982,-0.000943807,0.001638673,5.313896668
165,78048754.7,34.58137844,1.382201084,1.02E-07,10.82964824,-4.099350539,,0.001240042,-0.000993048,0.001279905,5.315176573
166,78008160.8,34.58983548,1.389079815,1.02E-07,10.86407035,-4.077867229,,0.001222624,-0.00104049,0.000943602,5.316120175
167,77965757.71,34.59816786,1.396004954,1.02E-07,10.89849246,-4.056608989,,0.001204309,-0.00108744,0.000605311,5.316725485
168,77921588.96,34.60637895,1.402976488,1.02E-07,10.93291457,-4.035572862,,0.001186496,-0.001133351,0.000275175,5.31700066
169,77875693.02,34.61446973,1.409993979,1.02E-07,10.96733668,-4.014758494,,0.001168837,-0.00117835,-4.92417E-05,5.316951418
170,77828112.9,34.62244504,1.417057621,1.02E-07,11.00175879,-3.99415259,,0.001151886,-0.001222324,-0.000364431,5.316586988
171,77778855.21,34.63028941,1.424163398,1.02E-07,11.0361809,-3.973761679,,0.001132717,-0.001266208,-0.000690338,5.31589665
172,77727996.29,34.63802724,1.431316012,1.02E-07,11.07060302,-3.953577548,,0.001117081,-0.001308211,-0.00098792,5.314908729
173,77675543.62,34.64564598,1.438512088,1.02E-07,11.10502513,-3.933595163,,0.001099643,-0.001350102,-0.001293885,5.313614844
174,77621543.43,34.65315061,1.44575199,1.02E-07,11.13944724,-3.913816909,,0.001082939,-0.001390887,-0.001589947,5.312024898
175,77566020.88,34.66053894,1.453034564,1.02E-07,11.17386935,-3.894233981,,0.001065927,-0.001431108,-0.001884259,5.310140639
176,77509023.64,34.66781822,1.460360738,1.02E-07,11.20829146,-3.874845042,,0.001049972,-0.001470185,-0.002166765,5.307973874
177,77450575.02,34.6749864,1.467729446,1.03E-07,11.24271357,-3.855646116,,0.001033731,-0.001508745,-0.002447602,5.305526272
178,77390694.16,34.68203736,1.475138611,1.03E-07,11.27713568,-3.83663654,,0.001016618,-0.001546897,-0.002730332,5.30279594
179,77329439.98,34.68898523,1.48259084,1.03E-07,11.31155779,-3.81781076,,0.001001552,-0.001583613,-0.002994596,5.299801344
180,77266827.32,34.69582382,1.490084106,1.03E-07,11.3459799,-3.799170428,,0.000985603,-0.00162003,-0.003261335,5.296540009
181,77202892.06,34.70255685,1.497618452,1.03E-07,11.38040201,-3.780703822,,0.000970201,-0.001655607,-0.003520376,5.293019634
182,77137692.04,34.70919749,1.505196266,1.03E-07,11.41482412,-3.762416513,,0.000956702,-0.00168977,-0.003761806,5.289257828
183,77071177.28,34.71570966,1.512808978,1.03E-07,11.44924623,-3.744303201,,0.000938015,-0.001725316,-0.004036352,5.285221476
184,77003435.62,34.72212191,1.520462282,1.03E-07,11.48366834,-3.7263615,,0.000923452,-0.001758672,-0.0042779,5.280943576
185,76934505.97,34.72844119,1.528157109,1.03E-07,11.51809045,-3.708584033,,0.000909896,-0.001791103,-0.004508936,5.276434641
186,76864419.56,34.73466787,1.535893106,1.03E-07,11.55251256,-3.690972627,,0.000896401,-0.001822807,-0.004735301,5.271699339
187,76793105.71,34.74075947,1.543659905,1.03E-07,11.58693467,-3.673530078,,0.000876799,-0.001856437,-0.005002074,5.266697265
188,76720732.39,34.74678039,1.551471451,1.04E-07,11.62135678,-3.656242274,,0.000866475,-0.00188578,-0.005198946,5.26149832
189,76647241.73,34.75269412,1.559318938,1.04E-07,11.65577889,-3.639113843,,0.000850902,-0.001916715,-0.00543004,5.256068279
190,76572700.94,34.75851918,1.567206019,1.04E-07,11.69020101,-3.622140539,,0.000838004,-0.001945982,-0.00563834,5.250429939
191,76497069.73,34.76422708,1.575125641,1.04E-07,11.72462312,-3.605323292,,0.000821011,-0.001976386,-0.005872564,5.244557375
192,76420414.23,34.7698375,1.583081723,1.04E-07,11.75904523,-3.588655721,,0.00080686,-0.002005147,-0.00608329,5.238474085
193,76342833.05,34.77538303,1.591081173,1.04E-07,11.79346734,-3.572134457,,0.000797399,-0.00203141,-0.006256855,5.23221723
194,76264241.5,34.78081731,1.599112398,1.04E-07,11.82788945,-3.555761753,,0.000781279,-0.002059972,-0.00647515,5.225742079
195,76184712.34,34.78616274,1.607180593,1.04E-07,11.86231156,-3.539536438,,0.000768386,-0.00208671,-0.006667168,5.219074911
196,76104289.35,34.79142727,1.615286491,1.05E-07,11.89673367,-3.523448083,,0.000756642,-0.002112379,-0.006847284,5.212227627
197,76022912.76,34.79657791,1.623422334,1.05E-07,11.93115578,-3.507502707,,0.000740161,-0.002139699,-0.007058951,5.205168676
198,75940816.79,34.8017053,1.63160832,1.05E-07,11.96557789,-3.491689892,,0.000736713,-0.002160936,-0.007173534,5.197995142
199,75857612.71,34.80663359,1.639803254,1.05E-07,12,-3.476024831,,0.000708002,-0.002192489,-0.007466581,5.190528561
