order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
74,66540581.9,33.09723583,1.07429305,1.49E-07,7.697236181,-1357.819814,,0.004035999,0.012579989,0.058439606,3.222538131
75,66947863.59,33.12365265,1.071173237,1.47E-07,7.731658291,-1343.150888,,0.003989198,0.012204367,0.057831003,3.280369134
76,67345339.42,33.14979344,1.068362432,1.45E-07,7.766080402,-1328.817894,,0.003944384,0.011839149,0.057207739,3.337576873
77,67733185.49,33.17565543,1.065845932,1.43E-07,7.800502513,-1314.807427,,0.003899256,0.01148515,0.056567211,3.394144084
78,68111551.85,33.20123962,1.063611443,1.41E-07,7.834924623,-1301.106784,,0.003854382,0.011141228,0.055910009,3.450054093
79,68480611.15,33.22654273,1.061645832,1.39E-07,7.869346734,-1287.712079,,0.003809117,0.010807706,0.055237558,3.505291651
80,68840494.86,33.251575,1.059940716,1.37E-07,7.903768844,-1274.598588,,0.003765491,0.010483055,0.0545542,3.55984585
81,69191362.44,33.27633616,1.058485329,1.35E-07,7.938190955,-1261.770605,,0.003721921,0.010167793,0.053858255,3.613704105
82,69533362.36,33.30082755,1.05726976,1.34E-07,7.972613065,-1249.214327,,0.003678648,0.009861313,0.053150661,3.666854767
83,69866643.37,33.32505081,1.056284989,1.32E-07,8.007035176,-1236.916232,,0.003635714,0.009563354,0.052432787,3.719287554
84,70191346.32,33.34901098,1.055523302,1.31E-07,8.041457286,-1224.880407,,0.003593627,0.009273436,0.051706919,3.770994472
85,70507640.27,33.37269369,1.054972138,1.29E-07,8.075879397,-1213.086347,,0.003549476,0.00899212,0.050965736,3.821960208
86,70815622.77,33.39612891,1.054631559,1.28E-07,8.110301508,-1201.531287,,0.003509906,0.008717148,0.050228947,3.872189155
87,71115477.18,33.41928939,1.054486404,1.27E-07,8.144723618,-1190.206495,,0.003466337,0.008450741,0.049472491,3.921661646
88,71407304.31,33.44220053,1.054536104,1.25E-07,8.179145729,-1179.101888,,0.003426658,0.008190364,0.04872032,3.970381966
89,71691258.13,33.46485547,1.054771887,1.24E-07,8.213567839,-1168.222939,,0.003386032,0.007937325,0.047959511,4.018341477
90,71967468.92,33.48725709,1.055187815,1.23E-07,8.24798995,-1157.551261,,0.003345917,0.007690777,0.047194373,4.065535851
91,72236081.81,33.50939903,1.055775798,1.22E-07,8.28241206,-1147.083776,,0.003304932,0.007450963,0.046421709,4.11195756
92,72497200.82,33.53129896,1.056534651,1.21E-07,8.316834171,-1136.813869,,0.003266663,0.007216581,0.045652908,4.157610468
93,72750971.82,33.55294563,1.057455649,1.20E-07,8.351256281,-1126.73783,,0.003226788,0.006988639,0.044875129,4.202485597
94,72997518.18,33.57434424,1.058534615,1.19E-07,8.385678392,-1116.848533,,0.003187767,0.00676637,0.044097261,4.246582858
95,73236963.53,33.59550028,1.059767623,1.18E-07,8.420100503,-1107.140207,,0.003149635,0.006549645,0.043320312,4.289903169
96,73469429.56,33.61641136,1.061149232,1.17E-07,8.454522613,-1097.611073,,0.003111216,0.006338282,0.042539591,4.33244276
97,73695034.52,33.63708456,1.062676229,1.16E-07,8.488944724,-1088.252422,,0.003073923,0.006132064,0.041761785,4.374204545
98,73913901.23,33.65751661,1.064343522,1.15E-07,8.523366834,-1079.061299,,0.003036209,0.005931001,0.040981199,4.415185744
99,74126143.21,33.67771301,1.066147916,1.14E-07,8.557788945,-1070.032305,,0.002999381,0.00573473,0.040203342,4.455389086
100,74331876.56,33.69767509,1.068085564,1.14E-07,8.592211055,-1061.163747,,0.002962816,0.005543217,0.039426367,4.494815453
101,74531224.46,33.7173878,1.070148899,1.13E-07,8.626633166,-1052.446724,,0.002924081,0.005356553,0.038640565,4.533456018
102,74724273.05,33.73690164,1.072346082,1.12E-07,8.661055276,-1043.880808,,0.002892898,0.00517365,0.037887184,4.571343202
103,74911156.98,33.75617087,1.074662595,1.11E-07,8.695477387,-1035.459615,,0.002854995,0.004995721,0.037106123,4.608449325
104,75091977.66,33.77520862,1.077097963,1.11E-07,8.729899497,-1027.183037,,0.002819097,0.004821791,0.03633487,4.644784195
105,75266828.13,33.79405581,1.079658454,1.10E-07,8.764321608,-1019.043238,,0.002789314,0.004651559,0.035592474,4.680376669
106,75435844.12,33.81262227,1.082319621,1.09E-07,8.798743719,-1011.039184,,0.002746247,0.004486084,0.034792334,4.715169003
107,75599101.79,33.83099609,1.085099019,1.09E-07,8.833165829,-1003.167133,,0.002716269,0.004323711,0.034053897,4.7492229
108,75756710.89,33.84915079,1.087987369,1.08E-07,8.86758794,-995.4220767,,0.002682426,0.004165265,0.033300241,4.782523141
109,75908771.81,33.8670823,1.090980856,1.08E-07,8.90201005,-987.8024264,,0.002648038,0.004010433,0.032546733,4.815069874
